PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090010  00041,1970,25,3,FR,Y,MEMPHIS
090010  00049,1971,25,3,FR,Y,MEMPHIS
D0147  L00075,1983,30,3,AV,Y,SHELBY COUNTY
090005  00042,1970,25,3,FR,Y,MEMPHIS
D0147  L00045,1983,30,3,AV,Y,SHELBY COUNTY
D0147  L00034,1985,30,3,AV,Y,SHELBY COUNTY
090005  00013,1972,25,3,FR,Y,MEMPHIS
090005  00009,1972,25,3,FR,Y,MEMPHIS
090002  00129,1972,25,3,FR,Y,MEMPHIS
090010  00039,1970,25,3,FR,Y,MEMPHIS
D0147  L00074,1983,30,3,AV,Y,SHELBY COUNTY
090005  00012,1972,25,3,FR,Y,MEMPHIS
D0147  L00046,1983,30,3,AV,Y,SHELBY COUNTY
090011  00124,1950,30,3,FR,Y,MEMPHIS
090002  00128,1972,25,3,FR,Y,MEMPHIS
D0147  L00073,1983,30,3,AV,Y,SHELBY COUNTY
090005  00041,1970,25,3,FR,Y,MEMPHIS
090002  00127,1972,25,3,AV,Y,MEMPHIS
D0147  L00030,1984,30,3,AV,Y,SHELBY COUNTY
D0147  L00047,1985,30,3,AV,Y,SHELBY COUNTY
D0147  L00076,1983,30,3,AV,Y,SHELBY COUNTY
090002  00123,1972,25,3,FR,Y,MEMPHIS
090002  00290,1972,25,3,FR,Y,MEMPHIS
090002  00291,1971,30,3,AV,Y,MEMPHIS
090002  00292,1971,25,3,FR,Y,MEMPHIS
D0147  L00048,1984,30,3,AV,Y,SHELBY COUNTY
090005  00040,1970,25,3,FR,Y,MEMPHIS
090002  00293,1971,25,3,FR,Y,MEMPHIS
090002  00294,1971,25,3,FR,Y,MEMPHIS
090002  00295,1971,25,3,FR,Y,MEMPHIS
090005  00015,1973,25,3,FR,Y,MEMPHIS
D0147  L00077,1983,30,3,AV,Y,SHELBY COUNTY
090002  00124,1972,25,3,FR,Y,MEMPHIS
090002  00297,1971,25,3,FR,Y,MEMPHIS
D0147  L00029,1985,30,3,AV,Y,SHELBY COUNTY
090002  00298,1971,25,3,FR,Y,MEMPHIS
090002  00299,1971,25,3,FR,Y,MEMPHIS
090002  00126,1972,25,3,FR,Y,MEMPHIS
090002  00300,1971,25,3,FR,Y,MEMPHIS
090002  00301,1971,25,3,FR,Y,MEMPHIS
090002  00302,1971,25,3,FR,Y,MEMPHIS
D0147  L00049,1983,30,3,AV,Y,SHELBY COUNTY
090002  00304,1971,25,3,FR,Y,MEMPHIS
D0147  L00078,1983,30,3,AV,Y,SHELBY COUNTY
090022  00055,1979,30,3,PR,Y,MEMPHIS
090002  00305,1971,25,3,FR,Y,MEMPHIS
D0147  L00070,1984,30,3,AV,Y,SHELBY COUNTY
090005  00039,1970,25,3,FR,Y,MEMPHIS
090005  00020,1972,25,3,FR,Y,MEMPHIS
090022  00051,1978,30,2,FR,Y,MEMPHIS
090002  00125,1972,25,3,FR,Y,MEMPHIS
090022  00050,1977,30,3,AV,Y,MEMPHIS
D0147  L00079,1984,30,3,AV,Y,SHELBY COUNTY
090026 A00002,1994,30,3,FR,NA,MEMPHIS
090026 A00003,1995,25,3,FR,Y,MEMPHIS
